IPO_company_name,Chittorgarh_link,Security_type,IPO_open_date,IPO_close_date,IPO_list_date,IPO_face_value,IPO_issue_price,IPO_lot_size,IPO_issue_size,IPO_Broker_apply,IPO_Broker_neutral,IPO_Broker_avoid,IPO_Member_apply,IPO_Member_neutral,IPO_Member_avoid,IPO_day1_qib,IPO_day1_nii,IPO_day1_rtl,IPO_day2_qib,IPO_day2_nii,IPO_day2_rtl,IPO_day3_qib,IPO_day3_nii,IPO_day3_rtl,IPO_RHP_doc,company_long_name,company_website,bse_link,bse_symbol,nse_link,nse_symbol,screener_link,gmp_company_name,gmp_website_link,day1_date,day1_price,day2_date,day2_price,day3_date,day3_price,day4_date,day4_price,day5_date,day5_price,day6_date,day6_price,day7_date,day7_price,day8_date,day8_price,day9_date,day9_price,day10_date,day10_price,day11_date,day11_price,day12_date,day12_price,day13_date,day13_price,day14_date,day14_price,day15_date,day15_price,day16_date,day16_price,day17_date,day17_price,day18_date,day18_price,day19_date,day19_price,day20_date,day20_price,day21_date,day21_price,day22_date,day22_price,day23_date,day23_price,day24_date,day24_price,day25_date,day25_price,day26_date,day26_price,day27_date,day27_price,day28_date,day28_price,day29_date,day29_price,day30_date,day30_price,day31_date,day31_price,day32_date,day32_price,day33_date,day33_price,ao_token,IPO_listing_price
Abans Holdings Limited,https://www.chittorgarh.com/ipo/abans-holdings-ipo/1350/,EQ,2022-12-12,2022-12-15,2022-12-23,2,270,55,3456000000,1,1,2,1,1,2,0,0.13,0.23,2.19,0.17,0.32,4.1,1.48,0.4,https://www.sebi.gov.in/filings/public-issues/dec-2022/abans-holdings-limited-prospectus_67885.html,Abans Financial Services Limited,http://www.abansholdings.com/,https://www.bseindia.com/stock-share-price/abans-financial-services-ltd/AFSL/543712/,AFSL,https://www.nseindia.com/get-quotes/equity?symbol=AFSL,AFSL,https://www.screener.in/company/AFSL/consolidated/,Abans Holdings,https://ipocentral.in/abans-holdings-ipo-gmp-price-date-allotment/,2022-12-08,10.0,2022-12-09,15.0,2022-12-10,17.0,2022-12-12,12.0,2022-12-13,15.0,2022-12-14,10.0,2022-12-15,5.0,2022-12-16,,2022-12-17,,2022-12-19,,2022-12-20,,2022-12-21,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543712,
Sula Vineyards Limited,https://www.chittorgarh.com/ipo/sula-vineyards-ipo/1345/,EQ,2022-12-12,2022-12-14,2022-12-22,2,357,42,9603500000,11,0,1,0,0,0,0,0.18,0.48,0,0.45,0.99,4.13,1.51,1.65,https://www.sebi.gov.in/filings/public-issues/jul-2022/sula-vineyards-limited_60878.html,Sula Vineyards Limited,https://sulavineyards.com,https://www.bseindia.com/stock-share-price/sula-vineyards-ltd/SULA/543711/,SULA,https://www.nseindia.com/get-quotes/equity?symbol=SULA,SULA,https://www.screener.in/company/SULA/consolidated/,Sula Vineyards,https://ipocentral.in/sula-vineyards-ipo-gmp-price-date-allotment/,2022-12-05,60.0,2022-12-06,65.0,2022-12-07,70.0,2022-12-08,50.0,2022-12-09,40.0,2022-12-10,35.0,2022-12-12,35.0,2022-12-13,25.0,2022-12-14,25.0,2022-12-15,10.0,2022-12-16,5.0,2022-12-17,5.0,2022-12-19,5.0,2022-12-20,10.0,2022-12-21,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543711,
Uniparts India Limited,https://www.chittorgarh.com/ipo/uniparts-india-ipo/1324/,EQ,2022-11-30,2022-12-02,2022-12-12,10,577,25,8356100000,18,0,0,8,0,2,0,0.9,0.77,0.97,3.41,2.01,67.14,17.86,4.63,https://www.sebi.gov.in/filings/public-issues/dec-2022/uniparts-india-limited-prospectus_65863.html,Uniparts India Limited,http://www.unipartsgroup.com,https://www.bseindia.com/stock-share-price/uniparts-india-ltd/UNIPARTS/543689/,UNIPARTS,https://www.nseindia.com/get-quotes/equity?symbol=UNIPARTS,UNIPARTS,https://www.screener.in/company/UNIPARTS/consolidated/,Uniparts India,https://www.investorgain.com/gmp/uniparts-india-ipo/391/,2022-11-24,0.0,2022-11-25,140.0,2022-11-26,130.0,2022-11-27,131.0,2022-11-28,140.0,2022-11-29,80.0,2022-11-30,68.0,2022-12-01,45.0,2022-12-02,72.0,2022-12-03,60.0,2022-12-04,60.0,2022-12-05,61.0,2022-12-06,61.0,2022-12-07,55.0,2022-12-08,45.0,2022-12-09,54.0,2022-12-10,54.0,2022-12-11,51.0,2022-12-12,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543689,
Dharmaj Crop Guard Limited,https://www.chittorgarh.com/ipo/dharmaj-crop-guard-ipo/1339/,EQ,2022-11-28,2022-11-30,2022-12-08,10,237,60,2510900000,13,1,0,0,0,0,0.35,1.8,2.6,0.76,8.74,7.75,48.21,52.29,21.53,https://www.sebi.gov.in/filings/public-issues/nov-2022/dharmaj-crop-guard-limited-red-herring-prospectus_65339.html,Dharmaj Crop Guard Limited,http://www.dharmajcrop.com,https://www.bseindia.com/stock-share-price/dharmaj-crop-guard-ltd/DHARMAJ/543687/,DHARMAJ,https://www.nseindia.com/get-quotes/equity?symbol=DHARMAJ,DHARMAJ,https://www.screener.in/company/DHARMAJ/consolidated/,Dharmaj Crop Guard,https://ipocentral.in/dharmaj-crop-guard-ipo-gmp-price-date-allotment/,2022-11-23,20.0,2022-11-24,40.0,2022-11-25,40.0,2022-11-28,70.0,2022-11-29,60.0,2022-11-30,50.0,2022-12-01,50.0,2022-12-02,50.0,2022-12-03,50.0,2022-12-05,50.0,2022-12-06,50.0,2022-12-07,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543687,
Keystone Realtors Limited,https://www.chittorgarh.com/ipo/keystone-realtors-ipo/1336/,EQ,2022-11-14,2022-11-16,2022-11-24,10,541,27,6350000000,12,1,0,5,1,2,0,0.11,0.12,0.49,0.72,0.24,3.84,3.03,0.53,https://www.sebi.gov.in/filings/public-issues/nov-2022/keystone-realtors-limited-rhp_64760.html,Keystone Realtors Limited,http://www.rustomjee.com,https://www.bseindia.com/stock-share-price/keystone-realtors-ltd/RUSTOMJEE/543669/,RUSTOMJEE,https://www.nseindia.com/get-quotes/equity?symbol=RUSTOMJEE,RUSTOMJEE,https://www.screener.in/company/RUSTOMJEE/consolidated/,Keystone Realtors,https://ipocentral.in/keystone-realtors-ipo-gmp-price-date-allotment/,2022-11-16,5.0,2022-11-17,10.0,2022-11-18,10.0,2022-11-19,5.0,2022-11-21,5.0,2022-11-22,5.0,2022-11-23,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543669,
Inox Green Energy Services Limited,https://www.chittorgarh.com/ipo/inox-green-energy-ipo/1335/,EQ,2022-11-11,2022-11-15,2022-11-23,10,65,230,7400000000,6,2,1,1,1,4,0.47,0.05,1.03,0.47,0.23,2.93,1.05,0.47,4.7,https://www.sebi.gov.in/filings/public-issues/nov-2022/inox-green-energy-services-limited-rhp_64663.html,Inox Green Energy Services Limited,http://www.inoxgreen.com,https://www.bseindia.com/stock-share-price/inox-green-energy-services-ltd/INOXGREEN/543667/,INOXGREEN,https://www.nseindia.com/get-quotes/equity?symbol=INOXGREEN,INOXGREEN,https://www.screener.in/company/INOXGREEN/consolidated/,Inox Green Energy,https://ipocentral.in/inox-green-energy-ipo-gmp-price-date-allotment/,2022-11-07,10.0,2022-11-08,10.0,2022-11-09,7.0,2022-11-10,7.0,2022-11-11,7.0,2022-11-12,7.0,2022-11-14,5.0,2022-11-15,5.0,2022-11-16,5.0,2022-11-17,5.0,2022-11-18,5.0,2022-11-19,,2022-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543667,
Kaynes Technology India Limited,https://www.chittorgarh.com/ipo/kaynes-technology-ipo/1321/,EQ,2022-11-10,2022-11-14,2022-11-22,10,587,25,8578200000,9,1,0,7,0,0,0.52,0.1,0.12,2.45,0.77,0.47,98.47,21.21,4.1,https://www.sebi.gov.in/filings/public-issues/nov-2022/kaynes-technology-india-limited-rhp_64779.html,Kaynes Technology India Limited,http://www.kaynestechnology.co.in,https://www.bseindia.com/stock-share-price/kaynes-technology-india-ltd/KAYNES/543664/,KAYNES,https://www.nseindia.com/get-quotes/equity?symbol=KAYNES,KAYNES,https://www.screener.in/company/KAYNES/consolidated/,Kaynes Technology,https://ipocentral.in/kaynes-technology-ipo-gmp-price-date-allotment/,2022-11-10,20.0,2022-11-11,50.0,2022-11-12,70.0,2022-11-14,90.0,2022-11-15,100.0,2022-11-16,110.0,2022-11-17,130.0,2022-11-18,150.0,2022-11-19,150.0,2022-11-21,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543664,
Archean Chemical Industries Limited,https://www.chittorgarh.com/ipo/archean-chemical-ipo/1334/,EQ,2022-11-09,2022-11-11,2022-11-21,2,407,36,4623000000,12,0,0,9,0,2,0.04,0.36,0.95,0.54,2.07,2.94,48.91,14.9,9.96,https://www.sebi.gov.in/filings/public-issues/nov-2022/archean-chemical-industries-limited-rhp_64594.html,Archean Chemical Industries Limited,https://www.archeanchemicals.com,https://www.bseindia.com/stock-share-price/archean-chemical-industries-ltd/ACI/543657/,ACI,https://www.nseindia.com/get-quotes/equity?symbol=ACI,ACI,https://www.screener.in/company/ACI/consolidated/,Archean Chemical,https://ipocentral.in/archean-chemical-ipo-gmp-price-date-allotment/,2022-11-03,50.0,2022-11-04,60.0,2022-11-07,60.0,2022-11-08,60.0,2022-11-09,60.0,2022-11-10,70.0,2022-11-11,75.0,2022-11-12,75.0,2022-11-14,85.0,2022-11-15,90.0,2022-11-16,80.0,2022-11-17,85.0,2022-11-18,90.0,2022-11-19,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543657,
Five-Star Business Finance Limited,https://www.chittorgarh.com/ipo/five-star-business-finance-ipo/1327/,EQ,2022-11-09,2022-11-11,2022-11-21,1,474,31,5885100000,8,2,0,1,1,2,0.03,0.01,0.03,1.01,0.02,0.06,1.77,0.61,0.11,https://nsearchives.nseindia.com/corporate/FP_INE128S01021_16NOV2022.pdf,Five-Star Business Finance Limited,http://www.fivestargroup.in,https://www.bseindia.com/stock-share-price/five-star-business-finance-ltd/FIVESTAR/543663/,FIVESTAR,https://www.nseindia.com/get-quotes/equity?symbol=FIVESTAR,FIVESTAR,https://www.screener.in/company/FIVESTAR/,Five Star Business,https://www.investorgain.com/gmp/five-star-business-finance-ipo/389/,2022-11-03,0.0,2022-11-04,0.0,2022-11-05,0.0,2022-11-06,0.0,2022-11-07,1.0,2022-11-08,1.0,2022-11-09,9.0,2022-11-10,8.0,2022-11-11,5.0,2022-11-12,5.0,2022-11-13,7.0,2022-11-14,7.0,2022-11-15,7.0,2022-11-16,7.0,2022-11-17,2.0,2022-11-18,2.0,2022-11-19,2.0,2022-11-20,2.0,2022-11-21,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543663,
Bikaji Foods International Limited,https://www.chittorgarh.com/ipo/bikaji-foods-ipo/1332/,EQ,2022-11-03,2022-11-07,2022-11-16,1,300,50,8808600000,20,2,0,6,1,3,0.01,0.58,1.1,0.03,1.42,2.33,80.63,7.1,4.77,https://www.sebi.gov.in/filings/public-issues/nov-2022/bikaji-foods-international-limited-prospectus_64914.html,Bikaji Foods International Limited,https://www.bikaji.com,https://www.bseindia.com/stock-share-price/bikaji-foods-international-ltd/BIKAJI/543653/,BIKAJI,https://www.nseindia.com/get-quotes/equity?symbol=BIKAJI,BIKAJI,https://www.screener.in/company/BIKAJI/consolidated/,Bikaji Foods,https://ipocentral.in/bikaji-foods-ipo-gmp-price-date-allotment/,2022-10-28,80.0,2022-10-29,85.0,2022-10-31,85.0,2022-11-01,75.0,2022-11-02,75.0,2022-11-03,70.0,2022-11-04,40.0,2022-11-07,30.0,2022-11-08,20.0,2022-11-09,30.0,2022-11-10,35.0,2022-11-11,35.0,2022-11-12,35.0,2022-11-14,30.0,2022-11-15,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543653,
