Company_name,Company_info_url,IPO_category,IPO_open_date,IPO_close_date,IPO_list_date,IPO_face_value,IPO_issue_price,IPO_lot_size,IPO_issue_size,IPO_RHP_doc,IPO_Broker_apply,IPO_Broker_neutral,IPO_Broker_avoid,IPO_Member_apply,IPO_Member_neutral,IPO_Member_avoid,IPO_day1_qib,IPO_day1_nii,IPO_day1_rtl,IPO_day2_qib,IPO_day2_nii,IPO_day2_rtl,IPO_day3_qib,IPO_day3_nii,IPO_day3_rtl,IPO_gmp_link,day1_date,day1_price,day2_date,day2_price,day3_date,day3_price,day4_date,day4_price,day5_date,day5_price,day6_date,day6_price,day7_date,day7_price,day8_date,day8_price,day9_date,day9_price,screener_link,company_long_name,company_website,bse_link,bse_symbol,nse_link,nse_symbol,IPO_listing_price
Tenneco Clean Air India Limited,https://www.chittorgarh.com/ipo/tenneco-clean-ipo/2509/,EQ,error,error,error,10,error,error,30000000000.0,https://www.sebi.gov.in/filings/public-issues/jul-2025/tenneco-clean-air-india-limited_95079.html,0,0,0,0,0,0,error,error,error,error,error,error,error,error,error,https://www.investorgain.com/chr-gmp/tenneco-clean-ipo/2509,,,,,,,,,,,,,,,,,,,https://www.screener.in/company/NELCO/consolidated,NELCO Ltd,http://www.nelco.in,https://www.bseindia.com/stock-share-price/nelco-ltd/NELCO/504112/,NELCO,https://www.nseindia.com/get-quotes/equity?symbol=NELCO,NELCO,
Pine Labs Limited,https://www.chittorgarh.com/ipo/pine-labs-ipo/2487/,EQ,2025-11-07,2025-11-11,2025-11-14,1,error,error,20800000000.0,https://cdn.pinelabs.com/india/investors/pdf/offer-documents/Pine-Labs-Limited-RHP.pdf,0,0,0,0,0,0,error,error,error,error,error,error,error,error,error,https://www.investorgain.com/chr-gmp/pine-labs-ipo/2487,2025-11-01,60,,,,,,,,,,,,,,,,,https://www.screener.in/company/511421,Pine Animation Ltd,http://www.pineanimationlimited.com,https://www.bseindia.com/stock-share-price/pine-animation-ltd/PINEANIM/511421/,PINEANIM,,,
Billionbrains Garage Ventures Limited (Groww),https://www.chittorgarh.com/ipo/groww-ipo/2453/,EQ,2025-11-04,2025-11-07,2025-11-12,2,100,150,66323000000.0,https://nsearchives.nseindia.com/content/ipo/RHP_GROWW.zip,0,0,0,1,0,0,error,error,error,error,error,error,error,error,error,https://www.investorgain.com/chr-gmp/groww-ipo/2453,2025-10-28,10.0,2025-10-29,10.0,2025-10-30,15.0,2025-10-31,16.0,2025-11-01,167,,,,,,,,,https://www.screener.in/company/id/1285755/consolidated,Billionbrains Garage Ventures Ltd,,,,,,
Lenskart Solutions Limited,https://www.chittorgarh.com/ipo/lenskart-solutions-ipo/2551/,EQ,2025-10-31,2025-11-04,2025-11-10,2,402,37,72780200000.0,https://www.sebi.gov.in/filings/public-issues/oct-2025/lenskart-solutions-limited-rhp_97530.html,4,1,0,2,0,17,1.42,0.41,1.32,error,error,error,error,error,error,https://www.investorgain.com/chr-gmp/lenskart-solutions-ipo/2551,2025-10-26,75.0,2025-10-27,108.0,2025-10-28,73.0,2025-10-29,48.0,2025-10-30,70.0,2025-10-31,95.0,2025-11-01,85,,,,,https://www.screener.in/company/id/1285752/consolidated,Lenskart Solutions Ltd,,,,,,
Studds Accessories Limited,https://www.chittorgarh.com/ipo/studds-accessories-ipo/2259/,EQ,2025-10-30,2025-11-03,2025-11-07,5,585,25,4554900000.0,https://nsearchives.nseindia.com/content/ipo/RHP_STUDDS.zip,2,0,0,1,0,0,0.02,2.14,2.16,0.04,9.62,6.03,error,error,error,https://www.investorgain.com/chr-gmp/studds-accessories-ipo/2259,2025-10-26,85.0,2025-10-27,55.0,2025-10-28,55.0,2025-10-29,53.0,2025-10-30,63.0,2025-10-31,67.0,2025-11-01,67,,,,,https://www.screener.in/company/id/1285751/consolidated,Studds Accessories Ltd,,,,,,
Orkla India Limited,https://www.chittorgarh.com/ipo/orkla-india-ipo/2470/,EQ,2025-10-29,2025-10-31,2025-11-06,1,730,20,16675400000.0,https://nsearchives.nseindia.com/content/ipo/RHP_ORKLAINDIA.zip,0,1,0,6,0,0,0.02,1.53,0.9,0.06,7.59,2.12,117.63,54.42,7.06,https://www.investorgain.com/chr-gmp/orkla-india-ipo/2470,2025-10-24,145.0,2025-10-25,132.0,2025-10-26,114.0,2025-10-27,106.0,2025-10-28,77.0,2025-10-29,68.0,2025-10-30,70.0,2025-10-31,95.0,2025-11-01,955,https://www.screener.in/company/id/1285750/consolidated,Orkla India Ltd,,,,,,
