Company_name,Company_info_url,IPO_category,IPO_open_date,IPO_close_date,IPO_list_date,IPO_face_value,IPO_issue_price,IPO_lot_size,IPO_issue_size,IPO_Broker_apply,IPO_Broker_neutral,IPO_Broker_avoid,IPO_Member_apply,IPO_Member_neutral,IPO_Member_avoid,IPO_day1_qib,IPO_day1_nii,IPO_day1_rtl,IPO_day2_qib,IPO_day2_nii,IPO_day2_rtl,IPO_day3_qib,IPO_day3_nii,IPO_day3_rtl,IPO_RHP_doc,IPO_gmp_link,IPO_day4_qib,IPO_day4_nii,IPO_day4_rtl
Greenleaf Envirotech Limited,https://www.chittorgarh.com/ipo/greenleaf-envirotech-ipo/2515/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valplast Technologies Limited,https://www.chittorgarh.com/ipo/valplast-technologies-ipo/2220/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.A.G.Convergence Limited,https://www.chittorgarh.com/ipo/bag-convergence-ipo/2245/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zelio E-Mobility Limited,https://www.chittorgarh.com/ipo/zelio-e-mobility-ipo/2265/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheel Biotech Limited,https://www.chittorgarh.com/ipo/sheel-biotech-ipo/2324/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infinity Infoway Limited,https://www.chittorgarh.com/ipo/infinity-infoway-ipo/2351/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Munish Forge Limited,https://www.chittorgarh.com/ipo/munish-forge-ipo/2434/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunsky Logistics Limited,https://www.chittorgarh.com/ipo/sunsky-logistics-ipo/2460/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiraharit Limited,https://www.chittorgarh.com/ipo/chiraharit-ipo/2262/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodhani Capital Limited,https://www.chittorgarh.com/ipo/sodhani-capital-ipo/2270/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vijaypd Ceutical Limited,https://www.chittorgarh.com/ipo/vijaypd-ceutical-ipo/2313/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Om Metallogic Limited,https://www.chittorgarh.com/ipo/om-metallogic-ipo/2326/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suba Hotels Limited,https://www.chittorgarh.com/ipo/suba-hotels-ipo/2389/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhillon Freight Carrier Limited,https://www.chittorgarh.com/ipo/dhillon-freight-carrier-ipo/2446/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSM Fresh Foods Limited,https://www.chittorgarh.com/ipo/dsm-fresh-foods-ipo/2441/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
KVS Castings Limited,https://www.chittorgarh.com/ipo/kvs-castings-ipo/2196/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rukmani Devi Garg Agro Impex Limited,https://www.chittorgarh.com/ipo/rukmani-devi-garg-ipo/2209/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
M P K Steels (I) Limited,https://www.chittorgarh.com/ipo/m-p-k-steels-ipo/2272/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ameenji Rubber Limited,https://www.chittorgarh.com/ipo/ameenji-rubber-ipo/2291/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manas Polymers & Energies Limited,https://www.chittorgarh.com/ipo/manas-polymers-and-energies-ipo/2341/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhavik Enterprises Limited,https://www.chittorgarh.com/ipo/bhavik-enterprises-ipo/2422/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chatterbox Technologies Limited,https://www.chittorgarh.com/ipo/chatterbox-technologies-ipo/2072/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gujarat Peanut & Agri Products Limited,https://www.chittorgarh.com/ipo/gujarat-peanut-and-agri-products-ipo/2336/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earkart Limited,https://www.chittorgarh.com/ipo/earkart-ipo/2473/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telge Projects Limited,https://www.chittorgarh.com/ipo/telge-projects-ipo/2534/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Praruh Technologies Limited,https://www.chittorgarh.com/ipo/praruh-technologies-ipo/2221/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurunanak Agriculture India Limited,https://www.chittorgarh.com/ipo/gurunanak-agriculture-ipo/2246/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justo Realfintech Limited,https://www.chittorgarh.com/ipo/justo-realfintech-ipo/2430/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Systematic Industries Limited,https://www.chittorgarh.com/ipo/systematic-industries-ipo/2439/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSB BPO Solutions Limited,https://www.chittorgarh.com/ipo/nsb-bpo-ipo/2195/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecoline Exim Limited,https://www.chittorgarh.com/ipo/ecoline-exim-ipo/2143/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matrix Geo Solutions Limited,https://www.chittorgarh.com/ipo/matrix-geo-solutions-ipo/2268/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
True Colors Limited,https://www.chittorgarh.com/ipo/true-colors-ipo/2423/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aptus Pharma Limited,https://www.chittorgarh.com/ipo/aptus-pharma-ipo/2478/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
BharatRohan Airborne Innovations Limited,https://www.chittorgarh.com/ipo/bharatrohan-airborne-innovations-ipo/2546/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solvex Edibles Limited,https://www.chittorgarh.com/ipo/solvex-edibles-ipo/2093/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prime Cable Industries Limited,https://www.chittorgarh.com/ipo/prime-cable-industries-ipo/2472/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siddhi Cotspin Limited,https://www.chittorgarh.com/ipo/siddhi-cotspin-ipo/2615/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
JD Cables Limited,https://www.chittorgarh.com/ipo/jd-cables-ipo/2507/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sampat Aluminium Limited,https://www.chittorgarh.com/ipo/sampat-aluminium-ipo/2304/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
TechD Cybersecurity Limited,https://www.chittorgarh.com/ipo/techdefence-labs-ipo/2280/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.T.Elevator Limited,https://www.chittorgarh.com/ipo/l-t-elevator-ipo/2447/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airfloa Rail Technology Limited,https://www.chittorgarh.com/ipo/airfloa-rail-technology-ipo/2508/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galaxy Medicare Limited,https://www.chittorgarh.com/ipo/galaxy-medicare-ipo/2190/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jay Ambe Supermarkets Limited,https://www.chittorgarh.com/ipo/jay-ambe-ipo/2286/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taurian MPS Limited,https://www.chittorgarh.com/ipo/taurian-mps-ipo/2100/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karbonsteel Engineering Limited,https://www.chittorgarh.com/ipo/karbonsteel-engineering-ipo/2253/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nilachal Carbo Metalicks Limited,https://www.chittorgarh.com/ipo/nilachal-carbo-ipo/2215/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krupalu Metals Limited,https://www.chittorgarh.com/ipo/krupalu-metals-ipo/2431/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vashishtha Luxury Fashion Limited,https://www.chittorgarh.com/ipo/vashishtha-luxury-ipo/2359/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharvaya Metals Limited,https://www.chittorgarh.com/ipo/sharvaya-metals-ipo/2165/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vigor Plast India Limited,https://www.chittorgarh.com/ipo/vigor-plast-ipo/2400/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austere Systems Limited,https://www.chittorgarh.com/ipo/austere-systems-ipo/2337/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optivalue Tek Consulting Limited,https://www.chittorgarh.com/ipo/optivalue-tek-consulting-ipo/2252/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goel Construction Company Limited,https://www.chittorgarh.com/ipo/goel-construction-ipo/2284/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rachit Prints Limited,https://www.chittorgarh.com/ipo/rachit-prints-ipo/2198/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugs Lloyd Limited,https://www.chittorgarh.com/ipo/sugs-lloyd-ipo/2217/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snehaa Organics Limited,https://www.chittorgarh.com/ipo/snehaa-organics-ipo/2275/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abril Paper Tech Limited,https://www.chittorgarh.com/ipo/abril-paper-tech-ipo/2506/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oval Projects Engineering Limited,https://www.chittorgarh.com/ipo/oval-projects-ipo/2131/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Infraprojects Limited,https://www.chittorgarh.com/ipo/current-infraprojects-ipo/2282/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sattva Engineering Construction Limited,https://www.chittorgarh.com/ipo/sattva-engineering-construction-ipo/2355/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globtier Infotech Limited,https://www.chittorgarh.com/ipo/globtier-infotech-ipo/2135/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIS Management Limited,https://www.chittorgarh.com/ipo/nis-management-ipo/2332/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anondita Medicare Limited,https://www.chittorgarh.com/ipo/anondita-medicare-ipo/2243/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shivashrit Foods Limited,https://www.chittorgarh.com/ipo/shivashrit-foods-ipo/2303/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classic Electrodes (India) Limited,https://www.chittorgarh.com/ipo/classic-electrodes-ipo/2395/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARC Insulation & Insulators Limited,https://www.chittorgarh.com/ipo/arc-insulations-ipo/2122/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGT Business Connextions Limited,https://www.chittorgarh.com/ipo/lgt-business-ipo/2091/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studio LSD Limited,https://www.chittorgarh.com/ipo/studio-lsd-ipo/2113/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahendra Realtors & Infrastructure Limited,https://www.chittorgarh.com/ipo/mahendra-realtors-ipo/2043/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Icodex Publishing Solutions Limited,https://www.chittorgarh.com/ipo/icodex-publishing-ipo/2079/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANB Metal Cast Limited,https://www.chittorgarh.com/ipo/anb-metal-cast-ipo/2129/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medistep Healthcare Limited,https://www.chittorgarh.com/ipo/medistep-healthcare-ipo/2178/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star Imaging & Path Lab Limited,https://www.chittorgarh.com/ipo/star-imaging-ipo/2249/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connplex Cinemas Limited,https://www.chittorgarh.com/ipo/connplex-cinemas-ipo/2160/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sawaliya Foods Products Limited,https://www.chittorgarh.com/ipo/sawaliya-foods-products-ipo/2344/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhadora Industries Limited,https://www.chittorgarh.com/ipo/bhadora-industries-ipo/2055/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parth Electricals & Engineering Limited,https://www.chittorgarh.com/ipo/parth-electricals-engineering-ipo/2255/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jyoti Global Plast Limited,https://www.chittorgarh.com/ipo/jyoti-global-plast-ipo/2292/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaradhya Disposal Industries Limited,https://www.chittorgarh.com/ipo/aaradhya-disposal-industries-ipo/2311/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLT Logistics Limited,https://www.chittorgarh.com/ipo/blt-logistics-ipo/2325/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Essex Marine Limited,https://www.chittorgarh.com/ipo/essex-marine-ipo/2333/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flysbs Aviation Limited,https://www.chittorgarh.com/ipo/flysbs-aviation-ipo/2418/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Ur Drive Marketing Limited,https://www.chittorgarh.com/ipo/cash-ur-drive-marketing-ipo/2136/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renol Polychem Limited,https://www.chittorgarh.com/ipo/renol-polychem-ipo/2200/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.D.Industries (Pune) Limited,https://www.chittorgarh.com/ipo/b-d-industries-ipo/2162/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mehul Colours Limited,https://www.chittorgarh.com/ipo/mehul-colours-ipo/2302/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Takyon Networks Limited,https://www.chittorgarh.com/ipo/takyon-networks-ipo/2361/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaytex Fabrics Limited,https://www.chittorgarh.com/ipo/kaytex-fabrics-ipo/2050/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Repono Limited,https://www.chittorgarh.com/ipo/repono-limited-ipo/2232/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umiya Mobile Limited,https://www.chittorgarh.com/ipo/umiya-mobile-ipo/2273/,SME,,,,,,,,,,,,,,,,,,,,,,,,,,,
