Company_name,Company_info_url,IPO_category,IPO_open_date,IPO_close_date,IPO_list_date,IPO_face_value,IPO_issue_price,IPO_lot_size,IPO_issue_size,IPO_Broker_apply,IPO_Broker_neutral,IPO_Broker_avoid,IPO_Member_apply,IPO_Member_neutral,IPO_Member_avoid,IPO_day1_qib,IPO_day1_nii,IPO_day1_rtl,IPO_day2_qib,IPO_day2_nii,IPO_day2_rtl,IPO_day3_qib,IPO_day3_nii,IPO_day3_rtl,IPO_RHP_doc,IPO_gmp_link,IPO_day4_qib,IPO_day4_nii,IPO_day4_rtl
Jinkushal Industries Limited,https://www.chittorgarh.com/ipo/jinkushal-industries-ipo/2432/,EQ,2025-09-16,2025-09-18,2025-09-23,1,247,247,error,11.0,2.0,0.0,1.0,0.0,0.0,0.28,0.93,0.35,0.28,1.3,0.76,1.1,2.02,1.31,https://nsearchives.nseindia.com/content/ipo/RHP_EUROPRATIK.zip,https://www.investorgain.com/chr-gmp/euro-pratik-ipo/2015,,,
Jain Resource Recycling Limited,https://www.chittorgarh.com/ipo/jain-resource-recycling-ipo/2345/,EQ,2025-09-29,2025-10-01,2025-10-07,10,191,191,error,6.0,2.0,0.0,0.0,0.0,0.0,0.77,0.46,0.71,0.94,0.76,1.2,2.02,1.97,2.09,https://nsearchives.nseindia.com/content/ipo/RHP_FABTECH.zip,https://www.investorgain.com/chr-gmp/fabtech-technologies-ipo/2624,,,
BMW Ventures Limited,https://www.chittorgarh.com/ipo/bmw-ventures-ipo/2212/,EQ,2025-08-05,2025-08-07,2025-08-12,5,70,70,error,1.0,1.0,0.0,3.0,1.0,0.0,5.06,35.39,30.38,6.46,89.1,70.45,error,error,error,https://www.sebi.gov.in/filings/public-issues/jul-2025/highway-infrastructure-limited-rhp_95618.html,https://www.investorgain.com/chr-gmp/highway-infrastructure-ipo/2180,,,
Epack Prefab Technologies Limited,https://www.chittorgarh.com/ipo/epack-prefab-technologies-ipo/2023/,EQ,2025-09-19,2025-09-23,2025-09-26,2,153,153,error,0.0,0.0,0.0,0.0,0.0,0.0,2.4,2.74,2.83,3.0,10.53,7.17,193.01,128.56,21.78,https://www.sebi.gov.in/filings/public-issues/sep-2025/gk-energy-limited-rhp_96636.html,https://www.investorgain.com/chr-gmp/gk-energy-ipo/2042,,,
Jaro Institute of Technology Management & Research Limited,https://www.chittorgarh.com/ipo/jaro-education-ipo/2075/,EQ,2025-08-19,2025-08-21,2025-08-26,2,325,325,error,9.0,2.0,0.0,0.0,0.0,0.0,1.03,0.89,1.1,1.5,4.03,3.25,53.76,45.96,10.49,https://nsearchives.nseindia.com/content/ipo/RHP_GEMAROMA.zip,https://www.investorgain.com/chr-gmp/gem-aromatics-ipo/2032,,,
Solarworld Energy Solutions Limited,https://www.chittorgarh.com/ipo/solarworld-energy-ipo/2174/,EQ,2025-09-29,2025-10-01,2025-10-07,2,129,129,error,6.0,0.0,0.0,1.0,0.0,0.0,1.76,0.17,0.23,1.76,1.12,0.6,1.84,3.08,1.47,https://nsearchives.nseindia.com/content/ipo/RHP_GLOTTIS.zip,https://www.investorgain.com/chr-gmp/glottis-ipo/1998,,,
Seshaasai Technologies Limited,https://www.chittorgarh.com/ipo/seshaasai-technologies-ipo/2048/,EQ,2025-09-22,2025-09-24,2025-09-29,10,322,322,error,9.0,1.0,0.0,1.0,1.0,0.0,0.0,0.06,0.2,0.49,0.23,0.44,4.03,4.41,1.17,https://nsearchives.nseindia.com/content/ipo/RHP_GANESHCP.zip,https://www.investorgain.com/chr-gmp/ganesh-consumer-ipo/2045,,,
Anand Rathi Share & Stock Brokers Limited,https://www.chittorgarh.com/ipo/anand-rathi-stock-brokers-ipo/2028/,EQ,2025-09-24,2025-09-26,2025-10-01,2,232,232,error,1.0,1.0,0.0,0.0,0.0,0.0,1.17,0.12,0.54,1.7,0.52,1.35,26.67,5.59,3.81,https://www.sebi.gov.in/filings/public-issues/sep-2025/jain-resource-recycling-limited-rhp_96687.html,https://www.investorgain.com/chr-gmp/jain-resource-recycling-ipo/2345,,,
Ganesh Consumer Products Limited,https://www.chittorgarh.com/ipo/ganesh-consumer-ipo/2045/,EQ,2025-09-18,2025-09-22,2025-09-25,2,299,299,error,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.23,0.46,1.22,0.55,0.85,3.18,1.26,1.28,https://www.sebi.gov.in/filings/public-issues/sep-2025/ivalue-infosolutions-limited-rhp_96625.html,https://www.investorgain.com/chr-gmp/ivalue-infosolutions-ipo/2227,,,
Atlanta Electricals Limited,https://www.chittorgarh.com/ipo/atlanta-electricals-ipo/2011/,EQ,2025-09-23,2025-09-25,2025-09-30,10,890,890,error,8.0,1.0,0.0,0.0,0.0,0.0,0.49,1.91,0.73,0.71,3.67,2.12,37.19,37.32,9.15,https://nsearchives.nseindia.com/content/ipo/RHP_JARO.zip,https://www.investorgain.com/chr-gmp/jaro-education-ipo/2075,,,
