Company_name,Company_info_url,IPO_category,IPO_open_date,IPO_close_date,IPO Date,IPO_list_date,Listing Date,Tentative Listing Date,IPO_face_value,IPO_issue_price,Price Band,IPO_lot_size,IPO_issue_size,IPO_RHP_doc,IPO_Broker_apply,IPO_Broker_neutral,IPO_Broker_avoid,IPO_Member_apply,IPO_Member_avoid,IPO_Member_neutral,IPO_day1_qib,IPO_day1_nii,IPO_day1_rtl,IPO_day2_qib,IPO_day2_nii,IPO_day2_rtl,IPO_day3_qib,IPO_day3_nii,IPO_day3_rtl,IPO_gmp_link,day1_date,day1_price,day2_date,day2_price,day3_date,day3_price,day4_date,day4_price,day5_date,day5_price,day6_date,day6_price,day7_date,day7_price,day8_date,day8_price,day9_date,day9_price,day10_date,day10_price,screener_link,company_long_name,company_website,bse_link,bse_symbol,nse_link,nse_symbol,IPO_listing_price
Gujarat Kidney & Super Speciality Limited,https://www.chittorgarh.com/ipo/gujarat-kidney-and-super-speciality-ipo/2289/,EQ,2025-12-22,2025-12-24,22 to 24 Dec 2025,2025-12-30,[.],2025-12-30,2,114,114,128,250.8,https://www.sebi.gov.in/filings/public-issues/apr-2025/gujarat-kidney-and-super-speciality-limited_93248.html,0,0,1,1,0,0,,,,,,,,,,https://www.investorgain.com/chr-gmp/gujarat-kidney-and-super-speciality-ipo/2289,2025-12-15,0.0,2025-12-16,0.0,2025-12-17,0.0,2025-12-18,10.0,2025-12-19,7.0,2025-12-20,7.0,,,,,,,,,https://www.screener.in/company/id/1285833,Gujarat Kidney & Super Speciality Ltd,,,,,,
KSH International Limited,https://www.chittorgarh.com/ipo/ksh-international-ipo/2454/,EQ,2025-12-16,2025-12-18,16 to 18 Dec 2025,2025-12-23,[.],2025-12-23,5,384,384,39,710.0,https://www.bseindia.com/corporates/download/306344/IPO%20Prior/DRHP_20250523194231.pdf,10,3,0,0,0,0,0.0,0.07,0.29,0.0,0.13,0.5,1.12,0.44,0.91,https://www.investorgain.com/chr-gmp/ksh-international-ipo/2454,2025-12-11,0.0,2025-12-12,0.0,2025-12-13,0.0,2025-12-14,0.0,2025-12-15,0.0,2025-12-16,6.0,2025-12-17,0.0,2025-12-18,0.0,2025-12-19,0.0,2025-12-20,0.0,https://www.screener.in/company/id/1285825,KSH International Ltd,,,,,,
