IPO_company_name,Chittorgarh_link,Security_type,IPO_open_date,IPO_close_date,IPO_list_date,IPO_face_value,IPO_issue_price,IPO_lot_size,IPO_issue_size,IPO_Broker_apply,IPO_Broker_neutral,IPO_Broker_avoid,IPO_Member_apply,IPO_Member_neutral,IPO_Member_avoid,IPO_day1_qib,IPO_day1_nii,IPO_day1_rtl,IPO_day2_qib,IPO_day2_nii,IPO_day2_rtl,IPO_day3_qib,IPO_day3_nii,IPO_day3_rtl,IPO_RHP_doc,company_long_name,company_website,bse_link,bse_symbol,nse_link,nse_symbol,screener_link,gmp_company_name,gmp_website_link,day1_date,day1_price,day2_date,day2_price,day3_date,day3_price,day4_date,day4_price,day5_date,day5_price,day6_date,day6_price,day7_date,day7_price,day8_date,day8_price,day9_date,day9_price,day10_date,day10_price,day11_date,day11_price,day12_date,day12_price,day13_date,day13_price,day14_date,day14_price,day15_date,day15_price,day16_date,day16_price,day17_date,day17_price,day18_date,day18_price,day19_date,day19_price,day20_date,day20_price,day21_date,day21_price,day22_date,day22_price,day23_date,day23_price,day24_date,day24_price,day25_date,day25_price,day26_date,day26_price,day27_date,day27_price,day28_date,day28_price,day29_date,day29_price,day30_date,day30_price,day31_date,day31_price,day32_date,day32_price,day33_date,day33_price,IPO_listing_price,IPO_listing_gain_percentage,IPO_listing_gain_category
Tenneco Clean Air India Limited,https://www.chittorgarh.com/ipo/tenneco-clean-ipo/2509/,EQ,error,error,error,10,error,error,30000000000.0,0,0,0,0,0,0,error,error,error,error,error,error,error,error,error,https://www.sebi.gov.in/filings/public-issues/jul-2025/tenneco-clean-air-india-limited_95079.html,NELCO Ltd,http://www.nelco.in,https://www.bseindia.com/stock-share-price/nelco-ltd/NELCO/504112/,NELCO,https://www.nseindia.com/get-quotes/equity?symbol=NELCO,NELCO,https://www.screener.in/company/NELCO/consolidated,NELCO Ltd,https://www.investorgain.com/chr-gmp/tenneco-clean-ipo/2509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pine Labs Limited,https://www.chittorgarh.com/ipo/pine-labs-ipo/2487/,EQ,2025-11-07,2025-11-11,2025-11-14,1,221,67,38999100000.0,0,0,0,0,0,0,error,error,error,error,error,error,error,error,error,https://cdn.pinelabs.com/india/investors/pdf/offer-documents/Pine-Labs-Limited-RHP.pdf,Pine Animation Ltd,http://www.pineanimationlimited.com,https://www.bseindia.com/stock-share-price/pine-animation-ltd/PINEANIM/511421/,PINEANIM,,,https://www.screener.in/company/511421,Pine Animation Ltd,https://www.investorgain.com/chr-gmp/pine-labs-ipo/2487,2025-11-01,60.0,2025-11-03,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Billionbrains Garage Ventures Limited (Groww),https://www.chittorgarh.com/ipo/groww-ipo/2453/,EQ,2025-11-04,2025-11-07,2025-11-12,2,100,150,66323000000.0,0,0,0,2,0,0,error,error,error,error,error,error,error,error,error,https://nsearchives.nseindia.com/content/ipo/RHP_GROWW.zip,Billionbrains Garage Ventures Ltd,,,,,,https://www.screener.in/company/id/1285755/consolidated,Billionbrains Garage Ventures Ltd,https://www.investorgain.com/chr-gmp/groww-ipo/2453,2025-10-28,10.0,2025-10-29,10.0,2025-10-30,15.0,2025-10-31,16.0,2025-11-01,167.0,2025-11-03,151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lenskart Solutions Limited,https://www.chittorgarh.com/ipo/lenskart-solutions-ipo/2551/,EQ,2025-10-31,2025-11-04,2025-11-10,2,402,37,72780200000.0,4,1,0,3,0,17,1.42,0.41,1.32,1.43,1.09,2.42,error,error,error,https://www.sebi.gov.in/filings/public-issues/oct-2025/lenskart-solutions-limited-rhp_97530.html,Lenskart Solutions Ltd,,,,,,https://www.screener.in/company/id/1285752/consolidated,Lenskart Solutions Ltd,https://www.investorgain.com/chr-gmp/lenskart-solutions-ipo/2551,2025-10-26,75.0,2025-10-27,108.0,2025-10-28,73.0,2025-10-29,48.0,2025-10-30,70.0,2025-10-31,95.0,2025-11-01,85.0,2025-11-03,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studds Accessories Limited,https://www.chittorgarh.com/ipo/studds-accessories-ipo/2259/,EQ,2025-10-30,2025-11-03,2025-11-07,5,585,25,4554900000.0,2,0,0,1,0,0,0.02,2.14,2.16,0.04,9.62,6.03,1.97,27.67,11.57,https://nsearchives.nseindia.com/content/ipo/RHP_STUDDS.zip,Studds Accessories Ltd,,,,,,https://www.screener.in/company/id/1285751/consolidated,Studds Accessories Ltd,https://www.investorgain.com/chr-gmp/studds-accessories-ipo/2259,2025-10-26,85.0,2025-10-27,55.0,2025-10-28,55.0,2025-10-29,53.0,2025-10-30,63.0,2025-10-31,67.0,2025-11-01,67.0,2025-11-03,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orkla India Limited,https://www.chittorgarh.com/ipo/orkla-india-ipo/2470/,EQ,2025-10-29,2025-10-31,2025-11-06,1,730,20,16675400000.0,0,1,0,6,0,0,0.02,1.53,0.9,0.06,7.59,2.12,117.63,54.42,7.06,https://nsearchives.nseindia.com/content/ipo/RHP_ORKLAINDIA.zip,Orkla India Ltd,,,,,,https://www.screener.in/company/id/1285750/consolidated,Orkla India Ltd,https://www.investorgain.com/chr-gmp/orkla-india-ipo/2470,2025-10-24,145.0,2025-10-25,132.0,2025-10-26,114.0,2025-10-27,106.0,2025-10-28,77.0,2025-10-29,68.0,2025-10-30,70.0,2025-10-31,95.0,2025-11-01,955.0,2025-11-03,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
